13:23:39 INFO: audio server set success
13:23:40 INFO: opc server Ø›­ connect success!
13:23:40 INFO: opc server ZPMC.OPCServer.2 connect success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.SPR20 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.SPR40 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.SPR45 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.SPR2020 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.SPR20 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.SPR40 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.SPR45 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.SPR2020 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode1 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode2 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode3 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode4 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode5 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode6 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode7 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode8 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTV_Mode9 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode1 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode2 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode3 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode4 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode5 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode6 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode7 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode8 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTV_Mode9 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTV_Mode1 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTV_Mode2 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTV_Mode3 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTV_Mode4 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTV_Mode5 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTV_Mode6 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTV_Mode7 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTV_Mode8 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTV_Mode9 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.ROS_SPR_20CMD success!
13:23:40 INFO: add item LocalPLC_STS.STS1.ROS_SPR_40CMD success!
13:23:40 INFO: add item LocalPLC_STS.STS1.ROS_SPR_45CMD success!
13:23:40 INFO: add item LocalPLC_STS.STS1.ROS_SPR_2020_FEET success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTVM1 failured!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTVM2 failured!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTVM4 failured!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTVM3 failured!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.CCTVM5 failured!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTVM1 failured!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTVM2 failured!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTVM4 failured!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTVM3 failured!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.CCTVM5 failured!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTVM1 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTVM2 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTVM4 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTVM3 success!
13:23:40 INFO: add item LocalPLC_STS.STS1.CCTVM5 success!
13:23:40 INFO: add item LocalPLC_RMG.RMG1.TPOS success!
13:23:40 INFO: add item LocalPLC_RMG.RMG2.TPOS success!
13:23:40 INFO: add item LocalPLC_STS.STS1.ROS_HPOS success!
13:23:40 INFO: add item RemotePLC.RCCS.RCS01.ArmgNumber success!
13:23:40 INFO: add item RemotePLC.RCCS.RCS02.ArmgNumber success!
13:23:40 INFO: add item RemotePLC.RCCS.RCS02.ArmgNumber success!
13:23:40 INFO: add item RemotePLC.RCCS.Communication.Audio1_OnOff success!
13:23:40 INFO: add item RemotePLC.RCCS.Communication.Audio2_OnOff success!
13:23:40 INFO: add item LocalPLC_STS.STS1.Audio_OnOff success!
